#{"t_start": 1752937991.58925, "env_id": "None"}
r,l,t
-524155.432752,150,11.53247
-907768.490161,150,25.319473
-507196.730872,150,44.881708
-534928.415532,150,54.829847
-572963.039197,150,68.44236
-525482.505601,150,88.191557
-661284.759367,150,104.984029
-452993.380183,150,111.77539
-780253.518847,150,127.865847
-1082734.731037,150,137.604426
-860520.987802,150,148.963925
-491905.412721,150,159.686402
-571202.987545,150,174.12725
-541488.327283,150,190.566922
-533599.177906,150,208.07123
-562519.942578,150,227.353036
-562906.110162,150,243.934634
-509438.283088,150,260.253173
-1005347.188365,150,267.149268
-968943.79121,150,316.372013
-657470.245028,150,332.458741
-492729.229713,150,353.189718
-482396.595842,150,372.651253
-498517.358355,150,396.609636
-500750.269863,150,417.314269
-545488.310518,150,445.044159
-619550.64975,150,463.977752
-1082042.920874,150,504.440274
-888908.666982,150,517.934477
-572656.714001,150,530.45402
-522528.9635,150,535.252715
-530026.503639,150,542.413025
-533442.499024,150,548.505242
-530545.721754,150,553.066345
-752085.195519,150,562.415923
-1197593.486791,150,1521.133519
-1197428.716876,150,1527.383049
-1110698.578744,150,1536.265971
-1199591.204074,150,1545.525954
-1194465.211805,150,1554.559814
-1098411.565889,150,1564.261135
-560621.856119,150,1570.966557
-525902.387956,150,1577.061148
-525091.375868,150,1582.967361
-510405.634292,150,1605.982104
-547782.252564,150,1629.25695
-542326.516358,150,1651.783631
-564413.717831,150,2219.340489
-537984.630764,150,2251.022326
-546843.927434,150,3210.965202
-607093.381886,150,3238.782076
-542327.473524,150,4190.566651
-532625.573036,150,4217.759228
-533427.772936,150,4242.356961
-549781.49255,150,5172.99653
-542459.600942,150,5200.303468
-608335.860793,150,6149.768722
-547998.099965,150,6176.063571
-533074.284315,150,6203.860328
-565712.763199,150,6224.40892
-545661.051939,150,6244.45599
-528292.286573,150,6273.382216
-562820.138478,150,6297.75077
-538534.192906,150,6325.296389
-535537.044895,150,6353.334267
-563679.505115,150,6375.95325
-564726.226189,150,6400.785123
-541482.328605,150,6426.472585
-531731.010558,150,6451.770523
-535770.868296,150,6478.434763
-580943.789827,150,6503.351116
-838209.163301,150,6523.197025
-1212535.210374,150,7512.375263
-1188983.942665,150,7543.833178
-1204236.099518,150,7554.426286
-1180161.816295,150,7623.269454
-1207547.402952,150,7646.394535
-1203364.337758,150,7665.177725
-1169731.435235,150,7674.895891
-1179949.183793,150,7685.884547
-1204213.395469,150,7828.063196
-1189071.809494,150,7864.20156
-1192972.326917,150,8905.277337
-1184074.412015,150,8927.186087
-1195553.897315,150,8935.055191
-1210579.279278,150,9184.336399
-918204.976897,150,9314.722697
-89688.12207,150,9358.90598
